0,fabsl,__isnan,thrd_current,y0l,xdr_void
1,time,clock_gettime,timer_gettime,timespec_get,timespec_getres
2,__strtold_internal,__strncat_chk,strtold,__strtok_r,strtok
3,__fxstat,statvfs64,__fxstatat,__fxstat64,__fxstatat64
4,xdr_netobj,xdr_pointer,xdrmem_create,xdrstdio_create,xdrrec_create
5,_IO_file_stat,_IO_fread,_IO_fflush,__fwriting,__fpending
6,__sprintf_chk,__wprintf_chk,__vwprintf_chk,__fwprintf_chk,__fprintf_chk
7,xdr_short,xdr_bool,xdr_long,xdr_pmap,xdr_pmaplist
8,malloc_usable_size,__printf_fp,__fbufsize,printf_size_info,printf_size
9,re_exec,re_search_2,re_match_2,re_search,re_match
10,__wmemset_chk,wctomb,wcstombs,wcsspn,wcscspn
11,_IO_switch_to_wget_mode,putwc,ungetc,_IO_sungetwc,ungetwc
12,__fcntl,faccessat,fchflags,fchmodat,fchownat
13,xdr_bool,xdr_accepted_reply,xdr_unixcred,xdr_short,xdr_getcredres
14,__strcat_chk,__stpncpy_chk,__strcpy_chk,__stpcpy_chk,stpcpy
15,__sched_cpufree,freeaddrinfo,__libc_freeres,__libc_free,free
16,sigandset,sigaddset,sigorset,sigdelset,sigismember
17,gmtime,timespec_getres,localtime,timegm,tzset
18,xdrrec_create,xdr_vector,xdrmem_create,xdrstdio_create,svcraw_create
19,__pthread_once,__pthread_getspecific,sigstack,mtrace,ptrace
20,sockatmark,signal,__socket,getpeername,socketpair
21,__memset_chk,aligned_alloc,memfrob,__libc_valloc,__libc_memalign
22,__fgets_unlocked_chk,__fgets_chk,__fgetws_chk,__fgetws_unlocked_chk,__gets_chk
23,fromfpl,scalbl,nextupl,expl,y1l
24,malloc_usable_size,malloc_stats,mallinfo2,__libc_mallinfo,mallinfo
25,inet_lnaof,inet_ntoa,inet_ntop,__inet_pton_length,__inet_aton_exact
26,__libc_reallocarray,__libc_dynarray_emplace_enlarge,__libc_dynarray_finalize,__libc_dynarray_resize,__libc_dynarray_resize_clear
27,pthread_rwlockattr_setpshared,pthread_barrier_init,pthread_barrierattr_getpshared,pthread_condattr_setpshared,pthread_barrierattr_setpshared
28,regexec,re_match_2,re_search_2,re_match,re_search
29,isfdtype,__file_change_detection_for_stat,__file_is_unchanged,__file_change_detection_for_path,__file_change_detection_for_fp
30,_IO_puts,__asprintf,parse_printf_format,printf_size,printf_size_info
31,lgammal_r,ctanhl,ctanl,lgammal,tgammal
32,__printf_chk,__recvfrom_chk,__stack_chk_fail,__obstack_printf_chk,__chk_fail
33,mkstemps,mkstemp64,mkstemp,mkdtemp,mkdirat
34,freopen64,__open64_nocancel,__openat64_2,__open64_2,openat64
35,_IO_file_stat,_IO_file_doallocate,_IO_fputs,_IO_iter_begin,_IO_iter_file
36,pthread_condattr_getclock,time,clock_gettime,clock,__clock_gettime
37,logbl,log2l,log10l,logl,log1pl
38,__strerror_r,error_at_line,__assert,__assert_perror_fail,__assert_fail
39,mremap,calloc,mmap,__mmap,mmap64
